COUNTRY,VARIABLE,UNIT,MEASURE,TIME_FORMAT,obsTime,obsValue,OBS_STATUS
AUS,13_T040,PERCENTAGE,VAL,P1Y,2018,39.299999,NA
AUS,14_T042,PERCENTAGE,VAL,P1Y,2018,70.5,NA
AUS,14_T043,PERCENTAGE,VAL,P1Y,2013,4.4000001,NA
AUS,14_T043,PERCENTAGE,VAL,P1Y,2018,7.1999998,NA
AUS,14_T044,PERCENTAGE,VAL,P1Y,2018,27.1,NA
AUS,14_T045,PERCENTAGE,VAL,P1Y,2018,58.700001,NA
AUS,14_T046,PERCENTAGE,VAL,P1Y,2018,27.1,NA
AUS,15_T014,PERCENTAGE,VAL,P1Y,2013,8.1999998,NA
AUS,15_T014,PERCENTAGE,VAL,P1Y,2018,11.5,NA
AUS,15_T049,PERCENTAGE,VAL,P1Y,2018,29.1,NA
AUS,15_T050,PERCENTAGE,VAL,P1Y,2018,74.300003,NA
AUS,15_T051,PERCENTAGE,VAL,P1Y,2018,38.299999,NA
AUS,16_T027,PERCENTAGE,VAL,P1Y,2013,38.5,NA
AUS,16_T027,PERCENTAGE,VAL,P1Y,2018,44.700001,NA
AUS,16_T028,PERCENTAGE,VAL,P1Y,2013,90,NA
AUS,16_T028,PERCENTAGE,VAL,P1Y,2018,90,NA
AUS,16_T166,PERCENTAGE,VAL,P1Y,2018,67,NA
AUS,16_T167,PERCENTAGE,VAL,P1Y,2018,78,NA
AUS,18_T168,PERCENTAGE,VAL,P1Y,2013,87.400002,NA
AUS,18_T168,PERCENTAGE,VAL,P1Y,2018,85.800003,NA
AUS,18_T169,PERCENTAGE,VAL,P1Y,2013,8.8999996,NA
AUS,18_T169,PERCENTAGE,VAL,P1Y,2018,9.6999998,NA
AUS,18_T170,PERCENTAGE,VAL,P1Y,2013,23,NA
AUS,18_T170,PERCENTAGE,VAL,P1Y,2018,25.4,NA
AUS,18_T171,PERCENTAGE,VAL,P1Y,2018,24.299999,NA
AUS,18_T172,PERCENTAGE,VAL,P1Y,2018,55.400002,NA
AUS,18_T173,PERCENTAGE,VAL,P1Y,2018,12.7,NA
AUS,19_T174,PERCENTAGE,VAL,P1Y,2013,70.199997,NA
AUS,19_T174,PERCENTAGE,VAL,P1Y,2018,76.199997,NA
AUS,19_T175,PERCENTAGE,VAL,P1Y,2013,33.799999,NA
AUS,19_T175,PERCENTAGE,VAL,P1Y,2018,39,NA
AUS,19_T177,PERCENTAGE,VAL,P1Y,2018,73.300003,NA
AUS,19_T179,PERCENTAGE,VAL,P1Y,2013,63.799999,NA
AUS,19_T179,PERCENTAGE,VAL,P1Y,2018,67.099998,NA
AUS,19_T188,PERCENTAGE,VAL,P1Y,2013,25.4,NA
AUS,19_T188,PERCENTAGE,VAL,P1Y,2018,23.4,NA
AUS,20_T016,PERCENTAGE,VAL,P1Y,2018,76.900002,NA
AUS,20_T176,PERCENTAGE,VAL,P1Y,2018,59.5,NA
AUS,20_T189,PERCENTAGE,VAL,P1Y,2018,2.8,NA
AUS,1_T001,YEARS,VAL,P1Y,2018,42.099998,NA
AUS,1_T002,YEARS,VAL,P1Y,2018,15.2,NA
AUS,1_T000,PERCENTAGE,SE,P1Y,2013,1.3721826,NA
AUS,1_T000,PERCENTAGE,SE,P1Y,2018,0.97412342,NA
AUS,1_T029,PERCENTAGE,SE,P1Y,2013,1.3357706,NA
AUS,1_T029,PERCENTAGE,SE,P1Y,2018,0.9284178,NA
AUS,3_T022,PERCENTAGE,SE,P1Y,2018,0.21658291,NA
AUS,3_T023,PERCENTAGE,SE,P1Y,2018,0.28065795,NA
AUS,3_T024,PERCENTAGE,SE,P1Y,2013,0.55047822,NA
AUS,3_T024,PERCENTAGE,SE,P1Y,2018,0.3603228,NA
AUS,3_T078,PERCENTAGE,SE,P1Y,2018,1.0009418,NA
AUS,3_T079,PERCENTAGE,SE,P1Y,2018,1.2704974,NA
AUS,5_T032,PERCENTAGE,SE,P1Y,2018,0.8610394,NA
AUS,5_T033,PERCENTAGE,SE,P1Y,2018,1.0535022,NA
AUS,5_T034,PERCENTAGE,SE,P1Y,2018,1.8241577,NA
AUS,7_T012,PERCENTAGE,SE,P1Y,2018,0.14829968,NA
AUS,7_T105,PERCENTAGE,SE,P1Y,2018,0.93939787,NA
AUS,7_T106,PERCENTAGE,SE,P1Y,2018,0.98697287,NA
AUS,7_T107,PERCENTAGE,SE,P1Y,2018,0.53125507,NA
AUS,9_T025,PERCENTAGE,SE,P1Y,2018,0.73352867,NA
AUS,9_T026,PERCENTAGE,SE,P1Y,2018,0.86362708,NA
AUS,10_T101,PERCENTAGE,SE,P1Y,2018,1.1412208,NA
AUS,10_T102,PERCENTAGE,SE,P1Y,2018,0.43514732,NA
AUS,10_T103,PERCENTAGE,SE,P1Y,2018,0.50429708,NA
AUS,11_T096,PERCENTAGE,SE,P1Y,2018,0.29097101,NA
AUS,12_T053,PERCENTAGE,SE,P1Y,2018,0.44183376,NA
AUS,12_T054,PERCENTAGE,SE,P1Y,2018,1.227089,NA
AUS,12_T055,PERCENTAGE,SE,P1Y,2018,0.83685225,NA
AUS,12_T056,PERCENTAGE,SE,P1Y,2018,0.99390554,NA
AUS,12_T058,PERCENTAGE,SE,P1Y,2018,1.0500087,NA
AUS,13_T013,PERCENTAGE,SE,P1Y,2013,0.87750876,NA
AUS,13_T013,PERCENTAGE,SE,P1Y,2018,0.79472166,NA
AUS,13_T038,PERCENTAGE,SE,P1Y,2018,1.0874721,NA
