COU,SEX,IND,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue
DEU,MALE,FAM18C,P1Y,NBR,0,2006,519.1
DEU,MALE,FAM18C,P1Y,NBR,0,2009,523.1
DEU,MALE,FAM18C,P1Y,NBR,0,2012,523.9
DEU,MALE,FAM18C,P1Y,NBR,0,2015,514.3
DEU,MALE,FAM18C,P1Y,NBR,0,2018,502.5
DEU,FEMALE,FAM18C,P1Y,NBR,0,2006,512
DEU,FEMALE,FAM18C,P1Y,NBR,0,2009,517.6
DEU,FEMALE,FAM18C,P1Y,NBR,0,2012,524.4
DEU,FEMALE,FAM18C,P1Y,NBR,0,2015,503.8
DEU,FEMALE,FAM18C,P1Y,NBR,0,2018,503.6
GRC,MALE,FAM18A,P1Y,NBR,0,2006,431.6
GRC,MALE,FAM18A,P1Y,NBR,0,2009,458.8
GRC,MALE,FAM18A,P1Y,NBR,0,2012,451.7
GRC,MALE,FAM18A,P1Y,NBR,0,2015,449.1
GRC,MALE,FAM18A,P1Y,NBR,0,2018,436.6
GRC,FEMALE,FAM18A,P1Y,NBR,0,2006,488.1
GRC,FEMALE,FAM18A,P1Y,NBR,0,2009,505.9
GRC,FEMALE,FAM18A,P1Y,NBR,0,2012,502.2
GRC,FEMALE,FAM18A,P1Y,NBR,0,2015,486.5
GRC,FEMALE,FAM18A,P1Y,NBR,0,2018,478.8
GRC,MALE,FAM18B,P1Y,NBR,0,2006,461.5
GRC,MALE,FAM18B,P1Y,NBR,0,2009,473.1
GRC,MALE,FAM18B,P1Y,NBR,0,2012,457
GRC,MALE,FAM18B,P1Y,NBR,0,2015,453.7
GRC,MALE,FAM18B,P1Y,NBR,0,2018,451.5
GRC,FEMALE,FAM18B,P1Y,NBR,0,2006,456.8
GRC,FEMALE,FAM18B,P1Y,NBR,0,2009,459.3
GRC,FEMALE,FAM18B,P1Y,NBR,0,2012,449
GRC,FEMALE,FAM18B,P1Y,NBR,0,2015,453.6
GRC,FEMALE,FAM18B,P1Y,NBR,0,2018,451.2
GRC,MALE,FAM18C,P1Y,NBR,0,2006,467.7
GRC,MALE,FAM18C,P1Y,NBR,0,2009,465.2
GRC,MALE,FAM18C,P1Y,NBR,0,2012,460
GRC,MALE,FAM18C,P1Y,NBR,0,2015,450.6
GRC,MALE,FAM18C,P1Y,NBR,0,2018,446.1
GRC,FEMALE,FAM18C,P1Y,NBR,0,2006,479.1
GRC,FEMALE,FAM18C,P1Y,NBR,0,2009,474.9
GRC,FEMALE,FAM18C,P1Y,NBR,0,2012,473.3
GRC,FEMALE,FAM18C,P1Y,NBR,0,2015,459.4
GRC,FEMALE,FAM18C,P1Y,NBR,0,2018,457.4
HUN,MALE,FAM18A,P1Y,NBR,0,2006,463.4
HUN,MALE,FAM18A,P1Y,NBR,0,2009,475.4
HUN,MALE,FAM18A,P1Y,NBR,0,2012,468
HUN,MALE,FAM18A,P1Y,NBR,0,2015,457.1
HUN,MALE,FAM18A,P1Y,NBR,0,2018,462.6
HUN,FEMALE,FAM18A,P1Y,NBR,0,2006,503
HUN,FEMALE,FAM18A,P1Y,NBR,0,2009,513.3
HUN,FEMALE,FAM18A,P1Y,NBR,0,2012,507.5
HUN,FEMALE,FAM18A,P1Y,NBR,0,2015,482
HUN,FEMALE,FAM18A,P1Y,NBR,0,2018,489.1
HUN,MALE,FAM18B,P1Y,NBR,0,2006,495.8
HUN,MALE,FAM18B,P1Y,NBR,0,2009,496.1
HUN,MALE,FAM18B,P1Y,NBR,0,2012,481.7
HUN,MALE,FAM18B,P1Y,NBR,0,2015,480.9
HUN,MALE,FAM18B,P1Y,NBR,0,2018,485.5
HUN,FEMALE,FAM18B,P1Y,NBR,0,2006,485.7
