COUNTRY,VARIABLE,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue,OBS_STATUS
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2015,6296,E
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2016,7301,NA
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2017,7994,NA
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2018,8293,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2004,24776.56200888,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2005,25393.591629483,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2006,27296.432407703,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2007,30357.906712861,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2008,32143.406016433,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2009,30906.931637514,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2010,31871.671919151,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2011,32579.510200833,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2012,34125.70065511,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2013,36047.104941171,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2014,36393.106488533,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2015,36043.875681391,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2016,35892.157355569,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2017,33255.54260666,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2018,31962.706636735,NA
USA,T-PASS-RL-TOT,P1Y,PKM,6,2019,32483,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2004,9801,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2005,10370,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2006,11210,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2007,12241,NA
